18/10/17 05:32:39 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.10-hadoop2
18/10/17 05:32:39 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.2:8032
18/10/17 05:32:41 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
18/10/17 05:32:42 INFO input.FileInputFormat: Total input files to process : 74
18/10/17 05:32:42 INFO mapreduce.JobSubmitter: number of splits:74
18/10/17 05:32:42 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1539751383410_0004
18/10/17 05:32:42 INFO impl.YarnClientImpl: Submitted application application_1539751383410_0004
18/10/17 05:32:42 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1539751383410_0004/
18/10/17 05:32:42 INFO mapreduce.Job: Running job: job_1539751383410_0004
18/10/17 05:32:48 INFO mapreduce.Job: Job job_1539751383410_0004 running in uber mode : false
18/10/17 05:37:15 INFO mapreduce.Job:  map 97% reduce 0%
18/10/17 05:37:16 INFO mapreduce.Job:  map 98% reduce 0%
18/10/17 05:37:18 INFO mapreduce.Job:  map 100% reduce 0%
18/10/17 05:37:32 INFO mapreduce.Job:  map 100% reduce 7%
18/10/17 05:37:33 INFO mapreduce.Job:  map 100% reduce 11%
18/10/17 05:37:35 INFO mapreduce.Job:  map 100% reduce 15%
18/10/17 05:37:36 INFO mapreduce.Job:  map 100% reduce 22%
18/10/17 05:37:38 INFO mapreduce.Job:  map 100% reduce 32%
18/10/17 05:37:39 INFO mapreduce.Job:  map 100% reduce 36%
18/10/17 05:37:40 INFO mapreduce.Job:  map 100% reduce 43%
18/10/17 05:37:41 INFO mapreduce.Job:  map 100% reduce 44%
18/10/17 05:37:42 INFO mapreduce.Job:  map 100% reduce 45%
18/10/17 05:37:44 INFO mapreduce.Job:  map 100% reduce 48%
18/10/17 05:37:46 INFO mapreduce.Job:  map 100% reduce 49%
18/10/17 05:37:47 INFO mapreduce.Job:  map 100% reduce 50%
18/10/17 05:37:48 INFO mapreduce.Job:  map 100% reduce 51%
18/10/17 05:37:50 INFO mapreduce.Job:  map 100% reduce 54%
18/10/17 05:37:52 INFO mapreduce.Job:  map 100% reduce 55%
18/10/17 05:37:53 INFO mapreduce.Job:  map 100% reduce 56%
18/10/17 05:37:54 INFO mapreduce.Job:  map 100% reduce 57%
18/10/17 05:37:56 INFO mapreduce.Job:  map 100% reduce 59%
18/10/17 05:37:57 INFO mapreduce.Job:  map 100% reduce 60%
18/10/17 05:38:00 INFO mapreduce.Job:  map 100% reduce 61%
18/10/17 05:38:02 INFO mapreduce.Job:  map 100% reduce 63%
18/10/17 05:38:03 INFO mapreduce.Job:  map 100% reduce 64%
18/10/17 05:38:04 INFO mapreduce.Job:  map 100% reduce 65%
18/10/17 05:38:06 INFO mapreduce.Job:  map 100% reduce 66%
18/10/17 05:38:08 INFO mapreduce.Job:  map 100% reduce 68%
18/10/17 05:38:09 INFO mapreduce.Job:  map 100% reduce 69%
18/10/17 05:38:11 INFO mapreduce.Job:  map 100% reduce 70%
18/10/17 05:38:14 INFO mapreduce.Job:  map 100% reduce 73%
18/10/17 05:38:15 INFO mapreduce.Job:  map 100% reduce 75%
18/10/17 05:38:16 INFO mapreduce.Job:  map 100% reduce 76%
18/10/17 05:38:17 INFO mapreduce.Job:  map 100% reduce 77%
18/10/17 05:38:20 INFO mapreduce.Job:  map 100% reduce 79%
18/10/17 05:38:21 INFO mapreduce.Job:  map 100% reduce 80%
18/10/17 05:38:22 INFO mapreduce.Job:  map 100% reduce 81%
18/10/17 05:38:23 INFO mapreduce.Job:  map 100% reduce 82%
18/10/17 05:38:24 INFO mapreduce.Job:  map 100% reduce 83%
18/10/17 05:38:26 INFO mapreduce.Job:  map 100% reduce 84%
18/10/17 05:38:27 INFO mapreduce.Job:  map 100% reduce 85%
18/10/17 05:38:28 INFO mapreduce.Job:  map 100% reduce 86%
18/10/17 05:38:29 INFO mapreduce.Job:  map 100% reduce 87%
18/10/17 05:38:30 INFO mapreduce.Job:  map 100% reduce 88%
18/10/17 05:38:33 INFO mapreduce.Job:  map 100% reduce 89%
18/10/17 05:38:35 INFO mapreduce.Job:  map 100% reduce 90%
18/10/17 05:38:38 INFO mapreduce.Job:  map 100% reduce 91%
18/10/17 05:38:39 INFO mapreduce.Job:  map 100% reduce 92%
18/10/17 05:38:42 INFO mapreduce.Job:  map 100% reduce 93%
18/10/17 05:38:45 INFO mapreduce.Job:  map 100% reduce 94%
18/10/17 05:38:48 INFO mapreduce.Job:  map 100% reduce 95%
18/10/17 05:38:51 INFO mapreduce.Job:  map 100% reduce 96%
18/10/17 05:38:55 INFO mapreduce.Job:  map 100% reduce 97%
18/10/17 05:38:58 INFO mapreduce.Job:  map 100% reduce 98%
18/10/17 05:39:04 INFO mapreduce.Job:  map 100% reduce 99%
18/10/17 05:39:22 INFO mapreduce.Job:  map 100% reduce 100%
18/10/17 05:39:31 INFO mapreduce.Job: Job job_1539751383410_0004 completed successfully
18/10/17 05:39:31 INFO mapreduce.Job: Counters: 56
	File System Counters
		FILE: Number of bytes read=19800757282
		FILE: Number of bytes written=30130944628
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=3358558058
		GS: Number of bytes written=90433331
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=10508
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=74
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=1
		Launched map tasks=75
		Launched reduce tasks=12
		Rack-local map tasks=75
		Total time spent by all maps in occupied slots (ms)=8381169
		Total time spent by all reduces in occupied slots (ms)=3097098
		Total time spent by all map tasks (ms)=2793723
		Total time spent by all reduce tasks (ms)=1032366
		Total vcore-milliseconds taken by all map tasks=2793723
		Total vcore-milliseconds taken by all reduce tasks=1032366
		Total megabyte-milliseconds taken by all map tasks=8582317056
		Total megabyte-milliseconds taken by all reduce tasks=3171428352
	Map-Reduce Framework
		Map input records=74
		Map output records=542249250
		Map output bytes=9234283707
		Map output materialized bytes=10318787091
		Input split bytes=10508
		Combine input records=0
		Combine output records=0
		Reduce input groups=1079979
		Reduce shuffle bytes=10318787091
		Reduce input records=542249250
		Reduce output records=1079979
		Spilled Records=1582641087
		Shuffled Maps =814
		Failed Shuffles=0
		Merged Map outputs=814
		GC time elapsed (ms)=137269
		CPU time spent (ms)=3196360
		Physical memory (bytes) snapshot=130117619712
		Virtual memory (bytes) snapshot=374274478080
		Total committed heap usage (bytes)=131822256128
	Shuffle Errors
		BAD_ID=0
		CONNECTION=0
		IO_ERROR=0
		WRONG_LENGTH=0
		WRONG_MAP=0
		WRONG_REDUCE=0
	File Input Format Counters 
		Bytes Read=3358558058
	File Output Format Counters 
		Bytes Written=90433331
Job output is complete
